Expression,Meaning,Dialog Example,Other Example
Full circle moment,어떤 과정이나 여정이 시작점으로 다시 돌아와 완성되거나 특별한 의미를 갖게 되는 순간을 의미합니다. 돌고 돌아 원래 자리로 온 느낌이죠.,"윌리엄이 3년 전 캠블리를 처음 시작했을 때 대화했던 학생인 루크를 다시 만났을 때 이 표현을 썼습니다. ""Which is funny because I've talked with a lot of people since then, and so full circle moment."" (그 이후로 많은 사람들과 대화했기 때문에 정말 감회가 새롭네요.)","어릴 적 꿈이었던 소방관이 되어 처음 구조했던 아이가 나중에 커서 같은 소방서의 동료로 들어왔을 때, ""It was a real full circle moment."" (정말 감회가 새로운 순간이었어.) 라고 말할 수 있습니다."
Dang,"'Damn'을 좀 더 부드럽게 표현하는 감탄사입니다. '젠장', '이런', '와' 같이 놀라움, 실망, 감탄 등 다양한 감정을 나타낼 때 사용합니다.","루크가 자신의 사업을 시작할 계획이라고 말했을 때, 윌리엄이 놀라움과 감탄을 표하며 ""Dang, okay, starting your own business, big step, but that's really cool for you."" (와, 그렇군요. 자기 사업을 시작한다니, 큰 결심이지만 정말 멋지네요.) 라고 말했습니다.","""Dang, I forgot my wallet at home."" (이런, 지갑을 집에 두고 왔네.)"
Take a leap,"'도약하다', '과감한 결정을 내리다'라는 의미입니다. 위험을 감수하고 중요한 시도를 할 때 사용합니다.","윌리엄이 루크에게 사업 시작이라는 큰 결심을 한 계기를 물으며 ""Uh, what made you want to take the leap?"" (어, 왜 그런 도전을 하게 되셨어요?) 라고 물었습니다.","""After years of working for others, I decided to take a leap and start my own company."" (남을 위해 몇 년간 일한 후, 나는 과감히 내 회사를 차리기로 결심했다.)"
With moderation,"'적당히', '알맞게'라는 의미입니다. 주로 음식이나 술처럼 과하면 좋지 않은 것에 대해 말할 때 사용됩니다.","윌리엄이 술에 대해 이야기하며 ""No, I mean, with moderation, super nice, you know."" (아니요, 제 말은, 적당히 마시면 완전 좋잖아요.) 라고 말했습니다.","""You can enjoy sweets, but with moderation."" (단것을 즐겨도 되지만, 적당히 먹어야 해.)"
Crashed the graduation,'졸업식에 불쑥 찾아가다' 또는 '초대받지 않았는데 가다'라는 의미입니다. 'Crash a party' (파티에 불쑥 가다)처럼 격식 없는 자리에 갑자기 나타나는 것을 표현합니다.,"윌리엄이 친구의 공연을 보기 위해 초대받지 않은 다른 학과의 졸업 축하 파티에 갔던 경험을 설명하며 ""I kind of, uh, crashed a graduation of a different..."" (제가 다른 과 졸업식에 불쑥 찾아갔어요.) 라고 했습니다.","""We had no plans, so we just crashed John's birthday party."" (우린 계획이 없어서 그냥 존의 생일 파티에 불쑥 찾아갔어.)"
Sparkler,"불꽃놀이의 한 종류로, 손에 들고 사용하는 막대 모양의 폭죽을 의미합니다. 타면서 반짝이는 불꽃을 만들어냅니다.","윌리엄이 갔던 졸업 파티의 화려한 분위기를 묘사하며 ""I mean, there was like sparklers, like fireworks."" (제 말은, 폭죽 같은 것도 터지고 그랬어요.) 라고 말했습니다.","""Kids love waving sparklers on New Year's Eve."" (아이들은 새해 전날에 스파클러를 흔드는 것을 좋아한다.)"
Hopping countries right now,"'지금 여러 나라를 옮겨 다니고 있다'는 의미입니다. 'Hop'이 '깡충 뛰다'라는 뜻이듯, 여러 장소를 짧은 기간 동안 가볍게 이동하는 느낌을 줍니다.","윌리엄이 이탈리아에서 루마니아로 학교를 옮긴 상황을 설명하며 ""I'm just, uh, hopping countries right now."" (지금은 그냥 나라를 옮겨 다니고 있어요.) 라고 표현했습니다.","""She's a travel blogger, so she's always hopping cities for new content."" (그녀는 여행 블로거라서 새로운 콘텐츠를 위해 항상 도시를 옮겨 다닌다.)"
Special attachment,"'특별한 애착' 또는 '남다른 유대감'을 의미합니다. 어떤 사람, 장소, 또는 사물에 대해 깊은 감정적 연결을 느낄 때 사용합니다.","윌리엄이 스페인을 얼마나 좋아하는지 설명하면서 ""Uh, I have a special, special attachment with Spain."" (스페인에 대한 특별한 애착이 있어요.) 라고 말했습니다.","""I have a special attachment to this old watch because it was my grandfather's."" (이 낡은 시계는 할아버지의 것이었기 때문에 나에게 특별한 애착이 있다.)"
Weird dialect,'이상한 사투리' 또는 '독특한 방언'을 의미합니다. 표준어와 많이 달라서 낯설거나 특이하게 들리는 지역 언어를 가리킵니다.,"윌리엄이 스페인의 '산 세바스티안' 지역을 설명하며 ""That place is cool because they have a weird dialect."" (그곳은 독특한 방언이 있어서 멋져요.) 라고 했습니다.","""It was hard to understand the locals because of their weird dialect."" (그들의 독특한 사투리 때문에 현지인들을 이해하기 어려웠다.)"
Descended from,"'~에서 유래하다', '~의 후손이다'라는 의미입니다. 주로 언어, 문화, 가문 등의 기원이나 뿌리를 설명할 때 사용됩니다.","윌리엄이 산 세바스티안 지역 방언의 기원을 추측하며 ""it's descended from like a, a German sounding language, you know?"" (독일어처럼 들리는 언어에서 유래한 것 같거든요.) 라고 말했습니다.","""Many English words are descended from Latin."" (많은 영어 단어는 라틴어에서 유래했다.)"
Tapas culture,"스페인의 식문화 중 하나로, 작은 접시에 다양한 음식을 조금씩 담아 술과 함께 즐기는 것을 의미합니다. 여러 종류의 음식을 맛보며 사람들과 어울리는 사교적인 문화입니다.","윌리엄이 스페인의 즐길 거리를 설명하며 ""have you heard of like the tapas culture?"" (타파스 문화라고 들어봤어요?) 라고 물었습니다.","""When we go to Spain, we have to experience the real tapas culture."" (스페인에 가면 진짜 타파스 문화를 경험해야 해.)"
Banging,"(속어) '아주 멋진', '끝내주는', '정말 맛있는' 이라는 의미입니다. 굉장히 긍정적인 경험이나 사물을 표현할 때 사용합니다.","윌리엄이 스페인 음식인 '크로케타스 데 하몬'을 강력 추천하며 ""Those are banging."" (정말 맛있어요.) 라고 표현했습니다.","""The party last night was banging!"" (어젯밤 파티는 끝내줬어!)"
Tourist trap,"'관광객을 노린 함정'이라는 의미입니다. 유명 관광지에 있으며, 가격은 비싸고 품질은 낮은 식당, 상점, 서비스 등을 가리킵니다.","윌리엄이 스페인 여행 시 주의할 점을 알려주며 ""Uh, watch out for the tourist traps near the very nice historical sites..."" (아주 좋은 역사 유적지 근처의 관광객 함정은 조심해야 해요.) 라고 조언했습니다.","""That souvenir shop is a classic tourist trap; everything is overpriced."" (저 기념품 가게는 전형적인 관광객 함정이야. 모든 게 너무 비싸.)"
Overrated,'과대평가된' 이라는 의미입니다. 실제 가치나 품질보다 사람들이 너무 좋게 평가하고 있다고 생각될 때 사용합니다.,"루크가 프랑스가 별로였다고 하자 윌리엄이 농담조로 ""Overrated, France."" (과대평가된 프랑스.) 라고 말했습니다.","""Honestly, I think that movie is completely overrated."" (솔직히, 나는 그 영화가 완전히 과대평가되었다고 생각해.)"
Super sketchy,"(속어) '아주 수상한', '뭔가 미심쩍은', '위험해 보이는' 이라는 의미입니다. 신뢰가 가지 않거나 안전하지 않을 것 같은 사람, 장소, 상황을 묘사할 때 사용합니다.","윌리엄이 파리 지하철에 대해 ""The subway is super sketchy."" (지하철이 정말 수상해요.) 라고 말하며 낡고 위험해 보이는 분위기를 설명했습니다.","""I didn't walk down that dark alley; it looked super sketchy."" (나는 그 어두운 골목으로 걸어가지 않았어. 아주 수상해 보였거든.)"
Crazy people on,문맥상 'on the subway'가 생략된 표현으로 '지하철에 있는 이상한 사람들'을 의미합니다.,"윌리엄이 파리 지하철의 분위기를 묘사하며 ""graffiti everywhere, crazy people on, you know."" (到处涂鸦，到处都是疯狂的人。) 라고 말했습니다.","""Be careful on the late-night bus; there are some crazy people on there sometimes."" (심야 버스에서는 조심해, 가끔 이상한 사람들이 타거든.)"
Not as if I didn't grow up in a dangerous city or anything,"문장 구조와 사용법: 이 표현은 ""내가 ~한 것도 아닌데"" 라는 뉘앙스를 가집니다. 어떤 사실을 언급하면서, 그것이 현재 상황을 설명하는 절대적인 이유가 아님을 강조하거나, 반어적으로 표현할 때 사용합니다. 'Not as if ~'는 '~인 것처럼은 아니다' 라는 의미입니다.
대화 속 의미: 윌리엄은 이 문장을 통해 ""제가 위험한 도시에서 자라지 않은 것도 아니지만 (오히려 평화로운 도시에서 자랐지만)"" 이라는 점을 먼저 언급하고, 그럼에도 불구하고 총이 없는 유럽이 더 안전하게 느껴진다는 점을 강조하고 있습니다. 즉, 자신이 유독 안전에 민감한 사람이 아님을 먼저 밝히는 것입니다.",,
Road rage incident,"'도로 위 난폭 운전 사건'을 의미합니다. 운전 중 분노로 인해 다른 운전자에게 공격적인 행동(욕설, 위협, 폭력 등)을 하는 사건을 말합니다.","윌리엄이 미국에서는 예측 불가능한 위험이 많다고 설명하며 ""There could be a road rage incident and someone could pull out a gun."" (도로에서 난폭 운전으로 총격 사건이 일어날 수도 있고요.) 라고 말했습니다.","""He was arrested for a road rage incident after chasing another car."" (그는 다른 차를 추격한 후 도로 위 난폭 운전 사건으로 체포되었다.)"
Hypocrisy,'위선'을 의미합니다. 자신이 말하는 신념이나 도덕적 기준과 다르게 행동하는 것을 가리킵니다.,"윌리엄이 미국에서 총기 문제에 대한 사람들의 이중적인 태도를 비판하며 ""It's a super hypocrisy in the U.S."" (미국에서는 정말 위선적이에요.) 라고 말했습니다.","""It's sheer hypocrisy for a politician to talk about family values when he's cheating on his wife."" (정치인이 아내를 속이면서 가족의 가치에 대해 이야기하는 것은 완전한 위선이다.)"
Ranting so much,"'너무 장황하게 불평하다', '격렬하게 이야기하다'라는 의미입니다. 'Rant'는 화가 나서 길고 열정적으로 무언가에 대해 불평하거나 이야기하는 것을 말합니다.","윌리엄이 미국 총기 문제에 대해 흥분해서 길게 이야기한 후 ""Sorry for the ranting at the end."" (마지막에 너무 흥분해서 미안해요.) 라고 사과했습니다.","""My dad went on a long rant about the government last night."" (어젯밤 아빠는 정부에 대해 길게 불평을 늘어놓으셨다.)"
Smack,'찰싹 때리다' 라는 의미입니다. 손바닥 같은 것으로 소리가 나게 때리는 것을 묘사합니다.,"윌리엄이 미국 사람들을 정신 차리게 하고 싶은 답답한 마음을 표현하며 ""I wish I could like smack some people in the US and tell them, wake up a little bit."" (미국에 있는 사람들 몇 명을 때려서 ""정신 좀 차려""라고 말하고 싶어요.) 라고 말했습니다.","""She playfully smacked his arm."" (그녀는 장난스럽게 그의 팔을 찰싹 때렸다.)"
Blow up in his face,"(계획 등이) '예상치 못하게 실패하여 역효과를 낳다', '망하다'라는 의미입니다. 어떤 계획이 의도와는 정반대의 나쁜 결과를 가져올 때 사용합니다.","윌리엄이 트럼프의 행동이 결국에는 그에게 나쁜 결과로 돌아올 것이라고 예측하며 ""it'll blow up in his face very soon because people are finally coming against it."" (곧 사람들이 마침내 반대하기 시작하면서 그에게 큰 타격이 있을 거라고 생각하지만) 라고 말했습니다.","""His plan to cheat on the exam blew up in his face when the teacher caught him."" (시험에서 부정행위를 하려던 그의 계획은 선생님에게 들키면서 완전히 망했다.)"
